shelfmark,pages,label,title,author,date,language,subject,description,other_metadata
Pal.lat.797,556,Pal.lat.797,Codice miscellaneo,Nicolai de Messiato,Sec. XV,Latino,,,Shelfmark: Pal.lat.797
Pal.lat.798,272,Pal.lat.798,Codice miscellaneo,Nicolai de Messiato,Sec .XV,Latino,,,Shelfmark: Pal.lat.798
Pal.lat.799,644,Pal.lat.799,Dni. Iohannis Petri de Ferariis (sic) practica,Iohannis Petrus de Ferarius,Sec. XV,Latino,,,Shelfmark: Pal.lat.799
Pal.lat.800,828,Pal.lat.800,(Iacobi) Gentilis (Brixiensis) repertorium iuris (Pars I),,Sec. XIV,Latino,,,Shelfmark: Pal.lat.800
Pal.lat.801,708,Pal.lat.801,(Iacobi) Gentilis (Brixiensis) repertorium iuris (Pars II),,Sec. XV,Latino,,,Shelfmark: Pal.lat.801
Pal.lat.802,498,Pal.lat.802,Repertorium iuris,,Sec. XV,Latino,,,Shelfmark: Pal.lat.802
Pal.lat.1148,96,Pal.lat.1148,Libri de consolatione medicinarum simplicium solutivarum,Mesue Minor,1301-1450,Latino,,,Shelfmark: Pal.lat.1148
Pal.lat.1149,604,Pal.lat.1149,Medizinische Sammelhandschrift,Mesue Minor; Arnoldus <de Villa Nova>; Constantinus Africanus; Gerardus Bituricensis,1. Hälfte 14. Jh.,und,,,Shelfmark: Pal.lat.1149 | Place: Paris
Pal.lat.1150,310,Pal.lat.1150,Codice miscellaneo (medicina),Mesue Minor; Matthaeus <Platearius>,Sec. XIV,Latino,,,Shelfmark: Pal.lat.1150
Pal.lat.1151,562,Pal.lat.1151,"Continens, Vol. I, libri I-IX","Rāzī, Muḥammad Ibn-Zakarīyā /ar-",Sec. XIII-XIV,Latino,,,Shelfmark: Pal.lat.1151
Pal.lat.1153,514,Pal.lat.1153,Codice miscellaneo (medicina e filosofia della natura),"Gerardus <de Solo>; Arnoldus <de Villa Nova>; Dinus de Florentia; Ibn-Ǧazla, Yaḥyā Ibn-ʿ'Īsā; Zahrāwī, Ḫalaf Ibn-Abbās /az-; Albertus <Magnus>",Sec. XIV (1358),Latino,,,Shelfmark: Pal.lat.1153
Pal.lat.1152,778,Pal.lat.1152,"Continens, Vol. III, libri XVIIIb-XXV","Rāzī, Muḥammad Ibn-Zakarīyā /ar-",1431-1460,Latino,,,Shelfmark: Pal.lat.1152
Pal.lat.1154,248,Pal.lat.1154,Codice miscellaneo (medicina),"Gerardus <de Solo>; Jacoby, Johann",1365,Latino,,,Shelfmark: Pal.lat.1154
Pal.lat.1156,190,Pal.lat.1156,Codice miscellaneo (medicina canonistica),"Rāzī, Muḥammad Ibn-Zakarīyā /ar-; Bernardus <Papiensis>",Sec. XIII-XIV,Latino,,,Shelfmark: Pal.lat.1156
Pal.lat.1155,458,Pal.lat.1155,Codice miscellaneo (medicina),"Gerardus <de Solo>; Arnoldus <de Villa Nova>; Dinus de Florentia; Montagna, Bartolomeo",Sec. XV (seconda metà),Latino,,,Shelfmark: Pal.lat.1155
Pal.lat.1157,315,Pal.lat.1157,Codice miscellaneo (medicina),Gerardus <de Solo>; Johannes <de Parma>; Mesue Minor,Sec. XIV,Latino,,,Shelfmark: Pal.lat.1157
Pal.lat.1159,506,Pal.lat.1159,"Pantegni siue Ars magna, secondo Hali Abbas",Constantinus <Africanus>,Sec. XIII-XIV,Latino,,,Shelfmark: Pal.lat.1159
Pal.lat.1160,246,Pal.lat.1160,"Pantegni siue Ars magna, nach Hali Abbas",Constantinus Africanus,12./13. Jh.,,,,Shelfmark: Pal.lat.1160 | Place: Italien
Pal.lat.1161,276,Pal.lat.1161,Medizinischer Sammelband,Constantinus Africanus; Gerardus Bituricensis,13. Jh. (I) ; um 1300 (II),,,,Shelfmark: Pal.lat.1161
Pal.lat.1162,198,Pal.lat.1162,Viaticus peregrinantis,Constantinus Africanus,1. Hälfte 13. Jh.,,,,Shelfmark: Pal.lat.1162
Pal.lat.1163,242,Pal.lat.1163,Viaticus peregrinantis,Constantinus Africanus,2. Hälfte 12. Jh.,,,,Shelfmark: Pal.lat.1163
Pal.lat.1164,214,Pal.lat.1164,Codice miscellaneo (medicina),Constantinus <Africanus>; Mattaeus Platearius; Aegidius Corbolensis; Richardus <de Arnsberg>; Trotula,Sec. XIII-XIV,Latino,,,Shelfmark: Pal.lat.1164
Pal.lat.1166,246,Pal.lat.1166,Codice miscellaneo (medicina),"Johannes <Papa, XXI.>",Sec. XIII-XIV,Latino,,,Shelfmark: Pal.lat.1166
Pal.lat.1165,293,Pal.lat.1165,Compositio (medicina),Constantinus <Africanus>; Gerardus Bituricensis; Gerardus de Montepessulano; Richardus <de Arnsberg>; Maurus <Magister>; Johannes <de Parma>; Armengaudus <Blasii>; Lanfrancus <Mediolanensis>,Sec. XIII-XIV,Latino,,,Shelfmark: Pal.lat.1165
Pal.lat.1168,156,Pal.lat.1168,Liber de natura rerum,,Sec. XIV,Latino,,,Shelfmark: Pal.lat.1168
Pal.lat.1169,546,Pal.lat.1169,Codice miscellaneo,Albertus <Magnus>,1436,Latino,,,Shelfmark: Pal.lat.1169
Pal.lat.1170,200,Pal.lat.1170,Codice miscellaneo (medicina),Ps.-Albertus <Magnus>; Johannes Paulus; Averroes,1460-61,Latino,,,Shelfmark: Pal.lat.1170
Pal.lat.1171,688,Pal.lat.1171,Codice miscellaneo (medicina),Petrus <de Abano>,Sec. XIV,Latino,,,Shelfmark: Pal.lat.1171
Pal.lat.1172,688,Pal.lat.1172,Conciliator pars I,Petrus <de Abano>,1425-1475,Latino,,,Shelfmark: Pal.lat.1172
Pal.lat.1173,574,Pal.lat.1173,Conciliator Pars II,Petrus <de Abano>,1425-1475,Latino,,,Shelfmark: Pal.lat.1173
Pal.lat.1174,224,Pal.lat.1174,Codice miscellaneo,Bernardus <de Gordonio>,Sec. XIV,Latino,,,Shelfmark: Pal.lat.1174
Pal.lat.1175,618,Pal.lat.1175,Codice miscellaneo (manoscritto/incunabolo),"Arnoldus <de Villa Nova>; Rāzī, Muḥammad Ibn-Zakarīyā ar; Petrus <de Tossignano>; Bartholomaeus <de Montagna>; Mundinus de Lenciis; Zacharias de Feltro; Gentilis <de Fulgineo>; Tura de Castello; Nicolaus <Bertrucius>",1473-1486,Latino,,,Shelfmark: Pal.lat.1175
Pal.lat.1176,430,Pal.lat.1176,Codice miscellaneo (medicina),"Palladius, Rutilius Taurus Aemilianus; Graecus, Marcus; Gentilis <de Fulgineo>; Arnaldus de Villanova",Sec.XIV,Latino,,,Shelfmark: Pal.lat.1176
Pal.lat.1177,466,Pal.lat.1177,Codice miscellaneo (medicina alchemica),"Johannes <de Rupescissa, OFM>; Arnoldus <de Villa Nova>; Ps.-Raymundus Lullus; Godefridus Molendino; Avicenna; Johannes <de Parma>; Jacoby, Johannes; Johannes <de Sancto Amando>",1447-48,Latino,,,Shelfmark: Pal.lat.1177
Pal.lat.1178,282,Pal.lat.1178,Breviarium,Arnoldus <de Villa Nova>,Sec. XV,Latino,,,Shelfmark: Pal.lat.1178
Pal.lat.1179,438,Pal.lat.1179,Codice miscellaneo (medicina),Arnoldus <de Villa Nova>; Bernardus <de Gordonio>; Bartholomaeus <de Brugis>; Lanfrancus <Mediolanensis>; Alcoatin,1351-1400,Latino,,,Shelfmark: Pal.lat.1179
Pal.lat.1180,732,Pal.lat.1180,Codice miscellaneo (medicina),"Arnoldus <de Villa Nova>; Gentilis <de Fulgineo>; Bacon, Rogerus",1430-1460,Latino,,,Shelfmark: Pal.lat.1180
Pal.lat.1181,38,Pal.lat.1181,Tabulae divisionum et subdivisionum totius artis medicinae,,14. Jh.,,,,Shelfmark: Pal.lat.1181
Pal.lat.1182,394,Pal.lat.1182,Breviarium,Arnoldus <de Villa Nova>,1477,Latino,,,Shelfmark: Pal.lat.1182
Pal.lat.1183,762,Pal.lat.1183,Codice miscellaneo,"Knab, Erhardus",1465-1466,Latino,,,Shelfmark: Pal.lat.1183
Pal.lat.1184,296,Pal.lat.1184,Codice miscellaneo (medicina),Bernardus <de Gordonio>; Galenus,Sec. XIV,Latino,,,Shelfmark: Pal.lat.1184
Pal.lat.1185,518,Pal.lat.1185,Lilium medicine I-VII,Bernhardus <de Gordonio>,1443,Latino,,,Shelfmark: Pal.lat.1185
Pal.lat.1186,421,Pal.lat.1186,Lilium medicine I-VII,Bernardus <de Gordonio>,1407,Latino,,,Shelfmark: Pal.lat.1186
Pal.lat.1187,506,Pal.lat.1187,Lilium medicine I-VII,Bernardus <de Gordonio>,1412,Latino,,,Shelfmark: Pal.lat.1187
Pal.lat.1188,378,Pal.lat.1188,Codice miscellaneo,Avicenna; Hippocrates; Copho; Arnoldus <de Villa Nova>; Leopoldus <de Austria>; Hermes; Ps.-Vergilius; Augustinus Bathus Senensis; Antonius de Haneron,1450-1500,Latino,,,Shelfmark: Pal.lat.1188
Pal.lat.1189,234,Pal.lat.1189,Medizinische Sammelhandschrift,Gariopontus; Mesue minor; Constantinus Africanus,13. Jh. ; um 1300,,,,"Shelfmark: Pal.lat.1189 | Place: Italien , Frankreich"
Pal.lat.1190,188,Pal.lat.1190,Liber medicinalis allegoricus respectu ecclesiae,,1420,Latino,,,Shelfmark: Pal.lat.1190
Pal.lat.1191,460,Pal.lat.1191,Practica seu aggregator Brixiensis,Guilhelmus Corvi de Brescia,Sec. XV,Latino,,,Shelfmark: Pal.lat.1191
Pal.lat.1192,182,Pal.lat.1192,Codice miscellaneo (medicina),Bartholomaeus <de Brugis>; Gualterus Agilon; Gerardus de Montepessulano,Sec. XIV,Latino,,,Shelfmark: Pal.lat.1192
Pal.lat.1193,358,Pal.lat.1193,Compositio,Ambros Prechtl; Abraham Beuther,1575-1586,Latino,,,Shelfmark: Pal.lat.1193
Pal.lat.1194,487,Pal.lat.1194,Codice miscellaneo (medicina),Bartholomaeus/ Galeatus de Sancta Sophia; Antonius Guainerius; Guilhelmus de Brescia; Bartholomaeus de Montagnana,1425-1450,Latino,,,Shelfmark: Pal.lat.1194
Pal.lat.1195,454,Pal.lat.1195,Codice miscellaneo (medicina) con incunabolo,Antonius Guainerius; Marcus de Senis; Nicolaus Falcutius; Christopherus de Honestis; Johannes de Tornamira,1474,Latino,,,Shelfmark: Pal.lat.1195
Pal.lat.1197,300,Pal.lat.1197,Codice miscellaneo (medicina),"Ibn-Buṭlān, al-Muẖtār Ibn-al-Ḥasan (Elluchasem Elimitar); Galeatus de Sancta Sophia",1450-1500,Latino,,,Shelfmark: Pal.lat.1197
Pal.lat.1196,348,Pal.lat.1196,Codice miscellaneo (medicina),Isaac <Iudaeus>,Sec. XIII-XIV,latino,,,Shelfmark: Pal.lat.1196
